source_id,raw_latitude,raw_longitude,reason
10195,,,invalid_or_unknown_coordinate_system
10196,,,invalid_or_unknown_coordinate_system
10197,,,invalid_or_unknown_coordinate_system
10198,,,invalid_or_unknown_coordinate_system
10199,,,invalid_or_unknown_coordinate_system
10200,,,invalid_or_unknown_coordinate_system
10201,,,invalid_or_unknown_coordinate_system
10202,,,invalid_or_unknown_coordinate_system
10203,,,invalid_or_unknown_coordinate_system
10204,,,invalid_or_unknown_coordinate_system
10205,,,invalid_or_unknown_coordinate_system
10206,,,invalid_or_unknown_coordinate_system
10207,,,invalid_or_unknown_coordinate_system
10208,,,invalid_or_unknown_coordinate_system
10210,,,invalid_or_unknown_coordinate_system
10211,,,invalid_or_unknown_coordinate_system
10212,,,invalid_or_unknown_coordinate_system
10213,,,invalid_or_unknown_coordinate_system
10215,,,invalid_or_unknown_coordinate_system
10216,,,invalid_or_unknown_coordinate_system
10217,,,invalid_or_unknown_coordinate_system
10218,,,invalid_or_unknown_coordinate_system
10219,,,invalid_or_unknown_coordinate_system
10220,,,invalid_or_unknown_coordinate_system
10221,,,invalid_or_unknown_coordinate_system
10223,,,invalid_or_unknown_coordinate_system
10225,,,invalid_or_unknown_coordinate_system
10226,,,invalid_or_unknown_coordinate_system
10227,,,invalid_or_unknown_coordinate_system
10228,,,invalid_or_unknown_coordinate_system
10229,,,invalid_or_unknown_coordinate_system
10230,,,invalid_or_unknown_coordinate_system
10231,,,invalid_or_unknown_coordinate_system
10234,,,invalid_or_unknown_coordinate_system
10235,,,invalid_or_unknown_coordinate_system
10236,,,invalid_or_unknown_coordinate_system
10237,,,invalid_or_unknown_coordinate_system
10238,,,invalid_or_unknown_coordinate_system
10239,,,invalid_or_unknown_coordinate_system
10240,,,invalid_or_unknown_coordinate_system
10241,,,invalid_or_unknown_coordinate_system
10243,,,invalid_or_unknown_coordinate_system
10244,,,invalid_or_unknown_coordinate_system
10245,,,invalid_or_unknown_coordinate_system
10246,,,invalid_or_unknown_coordinate_system
10247,,,invalid_or_unknown_coordinate_system
10248,,,invalid_or_unknown_coordinate_system
10249,,,invalid_or_unknown_coordinate_system
10250,,,invalid_or_unknown_coordinate_system
10251,,,invalid_or_unknown_coordinate_system
10252,,,invalid_or_unknown_coordinate_system
10253,,,invalid_or_unknown_coordinate_system
10254,,,invalid_or_unknown_coordinate_system
10255,,,invalid_or_unknown_coordinate_system
10256,,,invalid_or_unknown_coordinate_system
10257,,,invalid_or_unknown_coordinate_system
10259,,,invalid_or_unknown_coordinate_system
10260,,,invalid_or_unknown_coordinate_system
10261,,,invalid_or_unknown_coordinate_system
10262,,,invalid_or_unknown_coordinate_system
10263,,,invalid_or_unknown_coordinate_system
10264,,,invalid_or_unknown_coordinate_system
10266,,,invalid_or_unknown_coordinate_system
10267,,,invalid_or_unknown_coordinate_system
10268,,,invalid_or_unknown_coordinate_system
10269,,,invalid_or_unknown_coordinate_system
10270,,,invalid_or_unknown_coordinate_system
10271,,,invalid_or_unknown_coordinate_system
10273,,,invalid_or_unknown_coordinate_system
10274,,,invalid_or_unknown_coordinate_system
10275,,,invalid_or_unknown_coordinate_system
10276,,,invalid_or_unknown_coordinate_system
10277,,,invalid_or_unknown_coordinate_system
10278,,,invalid_or_unknown_coordinate_system
10282,,,invalid_or_unknown_coordinate_system
10283,,,invalid_or_unknown_coordinate_system
10285,,,invalid_or_unknown_coordinate_system
10286,,,invalid_or_unknown_coordinate_system
10287,,,invalid_or_unknown_coordinate_system
10288,,,invalid_or_unknown_coordinate_system
10289,,,invalid_or_unknown_coordinate_system
10290,,,invalid_or_unknown_coordinate_system
10291,,,invalid_or_unknown_coordinate_system
10293,,,invalid_or_unknown_coordinate_system
10294,,,invalid_or_unknown_coordinate_system
