source_id,shop_name,manager_name,raw_latitude,raw_longitude,reason
115904,سوپر مارکت بابائی2,محمد بابائی,,,null
115905,سوپر مارکت حمید2,حمیدرضا احمدی,,,null
115906,پخش ساحل1,یاسر جوادی راد,,,null
115908,مواد غذایی شهروند11,رمضان رضایی,,,null
115909,سوپر مارکت حاج علی1,اصغر فلاح,,,null
115910,سوپر مارکت درسا1,حسین قادی,,,null
115911,سوپر مارکت پریا1,حامد قلی پور,,,null
115912,سوپر مارکت ایرانیان4,مسعود کمالی راد,,,null
115913,سوپر مارکت رضایی11,محمد رضایی,,,null
115914,سوپر مارکت سی تی شاپ1,احمد قلی پور,,,null
115917,سوپر مارکت سید3,سیدحسن محمدزاده درزی,,,null
115918,سوپر مارکت نوری11,علیرضا نوری سراجی,,,null
115919,مواد غذایی باقریان1,محسن باقریان,,,null
115920,سوپر مارکت آرمین11,سیدابراهیم موسوی جو,,,null
115921,ارزانسرای مجید1,مجید کلانتری,,,null
115922,مواد غذایی ناصر و پسران1,علیرضا روح الهی کشتلی,,,null
115923,سوپر مارکت بهمن1,محمد مرندی,,,null
115924,سوپر مارکت بهروزی1,جمشید بهروزی,,,null
115925,سوپر مارکت امیری11,محمد حسین امیری,,,null
115926,سوپر مارکت پیکانی1,جاوید پیکانی,,,null
115927,شهریار آدران 3251,طوبی مجدی,,,null
115929,سوپر مارکت کوروش کبیر1,معین جزایری پور,,,null
115930,سوپر مارکت اهورا2,علی اصغر شالیکار,,,null
115932,سوپر مارکت گل11,سیف الله یوسف تبار,,,null
115933,سوپر مارکت تک برگ1,سید جعفر طالبیان مقدم,,,null
115934,تجارت دماوند1,حمیدرضا کوهستانی دماوند,,,null
115935,مواد غذایی یاسمن1,پرویز کاظمی تاری,,,null
115937,قند تلخ 21,مهدی عیسی پور درزی,,,null
115938,سوپر یاس نو1,احمد علی ملکی,,,null
115939,سوپر مارکت یاس2,حسن قلی نژاد,,,null
115941,تحفه مشهد11,علیرضا باقر زاده,,,null
115942,مواد غذایی فدک1,سید مرتضی اوصیاء,,,null
115944,سوپر مارکت شهریار2,شکراله فلاح پور,,,null
115945,سوپر مارکت باغبان1,حمید محمود نتاج آقا محلی,,,null
115946,پخش مواد غذایی ثامن الحجج1,حسین فلاح اسکی,,,null
115947,پخش مواد غذایی ثاقب1,حسن ثاقب,,,null
115948,حجره 45 قاسمپور1,ایوب قاسمپور,,,null
115949,سوپر مارکت آرام11,حسن پور حسن,,,null
115950,گلدن پاور1,داریوش محمد پور مرزبالی,,,null
115951,فروشگاه ریسمان چی1,احمد رضا ریسمان چی,,,null
115952,سوپر مارکت حامد1,محمدعلی حسین زاده حسنکلا,,,null
115953,سوپر مارکت موعودی1,محمدحسین موعودی,,,null
115954,مواد غذایی آقانژاد1,علی رضا آقا نژاد,,,null
115955,سوپر مارکت پارک1,رضا رویگری,,,null
115956,پنگوئن1,احمد محمود راد,,,null
115957,پارسا پخش1,محسن عیسی نژاد گورابجواری,,,null
115958,سوپر کوثر1,مرتضی همت پرست,,,null
115959,مرلین1,اصغر حسن زاده تاجی,,,null
115960,مواد غذایی فوکلائی1,محسن پورحسین فوکلائی,,,null
115961,سوپر مارکت الند1,علی اقانژادگردرودباری,,,null
115962,ترشیجات زیتون سرا1,محمد صادق زیدآبادی,,,null
115963,سوپر شهدایی1,سیدمجید شهداالحسینی,,,null
115964,سوپر مارکت هراز11,محمد رضا سکوت,,,null
115965,سوپر مارکت المپیک1,ابراهیم سجادی کوخیلی,,,null
